TimeStamp,test.data8i,test.float_data,test.data,test.address
10374.1,75,744.597,164,480
10374.4,75,744.597,164,480
10374.7,75,744.597,164,480
10374.9,75,744.597,164,480
10375.2,75,744.597,164,480
10375.4,75,744.597,164,480
10375.8,75,744.597,164,480
10376.1,76,743.897,166,470
10376.3,76,743.897,166,470
10376.7,76,743.897,166,470
10376.9,76,743.897,166,470
10377.2,76,743.897,166,470
10377.4,76,743.897,166,470
10377.8,76,743.897,166,470
10378.1,77,743.197,168,460
10378.4,77,743.197,168,460
10378.8,77,743.197,168,460
10379.1,77,743.197,168,460
10379.3,77,743.197,168,460
10379.7,77,743.197,168,460
10379.9,77,743.197,168,460
10380.3,78,742.497,170,450
10380.7,78,742.497,170,450
10381,78,742.497,170,450
10381.2,78,742.497,170,450
10381.7,78,742.497,170,450
10382,78,742.497,170,450
10382.2,79,741.797,172,440
10382.7,79,741.797,172,440
10382.9,79,741.797,172,440
10383.2,79,741.797,172,440
10383.5,79,741.797,172,440
10383.8,79,741.797,172,440
10384.1,80,741.097,174,430
10384.4,80,741.097,174,430
10384.7,80,741.097,174,430
10384.9,80,741.097,174,430
10385.2,80,741.097,174,430
10385.4,80,741.097,174,430
10385.8,80,741.097,174,430
10386.1,81,740.397,176,420
10386.3,81,740.397,176,420
10386.7,81,740.397,176,420
10386.9,81,740.397,176,420
10387.2,81,740.397,176,420
10387.5,81,740.397,176,420
10387.8,81,740.397,176,420
10388.1,82,739.697,178,410
10388.3,82,739.697,178,410
10388.7,82,739.697,178,410
10388.9,82,739.697,178,410
10389.2,82,739.697,178,410
10389.4,82,739.697,178,410
10389.8,82,739.697,178,410
10390.1,83,738.997,180,400
10390.3,83,738.997,180,400
10390.7,83,738.997,180,400
10390.9,83,738.997,180,400
10391.2,83,738.997,180,400
10391.4,83,738.997,180,400
10391.8,83,738.997,180,400
10392.1,84,738.297,182,390
10392.3,84,738.297,182,390
10392.7,84,738.297,182,390
10392.9,84,738.297,182,390
10393.2,84,738.297,182,390
10393.5,84,738.297,182,390
10393.8,84,738.297,182,390
10394.1,85,737.597,184,380
10394.4,85,737.597,184,380
10394.7,85,737.597,184,380
10394.9,85,737.597,184,380
10395.2,85,737.597,184,380
10395.5,85,737.597,184,380
10395.8,85,737.597,184,380
10396.1,86,736.897,186,370
10396.3,86,736.897,186,370
10396.7,86,736.897,186,370
10396.9,86,736.897,186,370
10397.2,86,736.897,186,370
10397.7,86,736.897,186,370
10398,87,736.897,186,370
10398.2,87,736.197,188,360
10398.5,87,736.197,188,360
10398.8,87,736.197,188,360
10399.1,87,736.197,188,360
10399.4,87,736.197,188,360
10399.8,87,736.197,188,360
10400.1,88,735.497,190,350
10400.4,88,735.497,190,350
10400.8,88,735.497,190,350
10401.1,88,735.497,190,350
10401.4,88,735.497,190,350
10401.7,88,735.497,190,350
10401.9,88,735.497,190,350
10402.3,89,734.797,192,340
10402.7,89,734.797,192,340
10402.9,89,734.797,192,340
10403.2,89,734.797,192,340
10403.4,89,734.797,192,340
10403.8,89,734.797,192,340
10404.1,90,734.097,194,330
10404.3,90,734.097,194,330
10404.7,90,734.097,194,330
10404.9,90,734.097,194,330
10405.2,90,734.097,194,330
10405.4,90,734.097,194,330
10405.8,90,734.097,194,330
10406.1,91,733.397,196,320
10406.3,91,733.397,196,320
10406.7,91,733.397,196,320
10406.9,91,733.397,196,320
10407.2,91,733.397,196,320
10407.4,91,733.397,196,320
10407.8,91,733.397,196,320
10408.1,92,732.697,198,310
10408.3,92,732.697,198,310
10408.7,92,732.697,198,310
10408.9,92,732.697,198,310
10409.2,92,732.697,198,310
10409.4,92,732.697,198,310
10409.8,92,732.697,198,310
10410.1,93,731.997,200,300
10410.4,93,731.997,200,300
10410.8,93,731.997,200,300
10411.1,93,731.997,200,300
10411.3,93,731.997,200,300
10411.7,93,731.997,200,300
10412,94,731.997,200,300
10412.3,94,731.297,202,290
10412.7,94,731.297,202,290
10412.9,94,731.297,202,290
10413.2,94,731.297,202,290
10413.4,94,731.297,202,290
10413.8,94,731.297,202,290
10414.1,95,730.597,204,280
10414.4,95,730.597,204,280
10414.7,95,730.597,204,280
10415,95,730.597,204,280
10415.3,95,730.597,204,280
10415.7,95,730.597,204,280
10416.1,95,730.597,204,280
10416.3,96,729.897,206,270
10416.7,96,729.897,206,270
